tema,subject,verb,object
consumer data,participants,had,discussion
consumer data,Congress,take,to defend
consumer data,participants,had,discussion
consumer data,Congress,take,to defend
data protection,About,is,offering
data protection,SECUDEâ€™s goal,is,to provide
consumer data,company,prevented,competition
discrimination,tech company,alleging,gender discrimination and violations of the
discrimination,tech company,alleging,violations
discrimination,Rowe,accused,Google
discrimination,Google engineering executive,suing,tech company
discrimination,company,paid,her
discrimination,company,paid,thousands
discrimination,Ulku Rowe,accused,Google
discrimination,that,required,skill
discrimination,that,required,effort
discrimination,that,required,responsibility
discrimination,Ulku Rowe,accused,Google
discrimination,that,required,skill
discrimination,that,required,effort
discrimination,that,required,responsibility
discrimination,this,was,retaliation to Rowe
discrimination,This,is,time
discrimination,Google,faced,accusations of mistreating
personal information,Google,delete,search results about people
human rights,It,'s,to see
human rights,who,presented,views to the
data protection,protection authorities,impose,interpretation on Internet
human rights,countries,abuse,requests
civil penalties,company,agreed,to pay $305 million in civil penalties in connection
data breach,Capital One,managed,to make
personal information,Privacy experts,raised,concerns about disclosing
personal information,Factors,include,risks
personal information,Factors,include,uncertainties
personal information,we,found,liable for damages
personal information,who,control,operations of our
personal information,that,disrupt,operations
personal information,release,cause,fires
personal information,information,used,to operate
personal information,systems,used,to operate
personal information,which,impact,market price of our
personal information,that,increase,costs
consumer data,participants,had,discussion
consumer data,Congress,take,to defend
consumer data,company,prevented,competition
discrimination,Google engineering executive,suing,tech company
discrimination,company,paid,her
discrimination,company,paid,thousands
discrimination,Ulku Rowe,accused,Google
discrimination,that,required,skill
discrimination,that,required,effort
discrimination,that,required,responsibility
discrimination,Ulku Rowe,accused,Google
discrimination,that,required,skill
discrimination,that,required,effort
discrimination,that,required,responsibility
discrimination,this,was,retaliation to Rowe
discrimination,This,is,time
discrimination,Google,faced,accusations of mistreating
discrimination,she,suffered,discrimination
discrimination,she,suffered,relation
civil penalties,Nissan,paid,penalty
civil penalties,Ghosn,paid,million
civil penalties,Kelly,paid,"100,000"
personal information,Google,delete,search results about people
human rights,It,'s,to see
human rights,who,presented,views to the
data protection,protection authorities,impose,interpretation on Internet
